pitch,seed,match_status,innings1_runs,innings1_wickets,innings1_declared,innings1_overs,innings2_runs,innings2_wickets,innings2_declared,innings2_overs,innings3_runs,innings3_wickets,innings3_declared,innings3_overs,innings4_runs,innings4_wickets,innings4_overs
Flat,13,completed,266,10,No,96.4,473,9,Yes,136,305,10,No,86.4,100,2,24
Flat,14,drawn,484,9,Yes,141,257,10,No,85.4,206,6,Yes,78,204,4,72
Flat,15,completed,243,10,No,68.6,284,10,No,96.2,268,9,Yes,85,228,5,66.2
Flat,16,completed,641,9,Yes,191,245,10,No,81.2,266,10,No,98.5,178,10,52.3
Flat,17,completed,246,10,No,77.2,256,10,No,76.6,105,9,Yes,40,96,5,34.1
Flat,18,completed,494,10,No,153.6,265,10,No,87.6,187,9,Yes,61,417,7,124.2
Flat,19,drawn,417,9,Yes,124,236,10,No,82.4,246,6,Yes,78,379,2,132
Flat,20,completed,346,9,Yes,111,267,10,No,82.3,452,8,Yes,126,224,10,80.5
Flat,21,completed,437,9,Yes,128,602,10,No,171.2,233,10,No,81.5,69,3,33
Flat,22,completed,230,10,No,77.3,535,8,Yes,157,367,10,No,106.2,63,3,23.1
Flat,23,completed,208,10,No,62.2,217,10,No,76.4,273,10,No,82.4,219,10,72.1
Flat,24,completed,373,9,Yes,99,160,10,No,46.1,247,10,No,78.2,261,10,75.6
Flat,25,drawn,694,5,Yes,191,368,10,No,119.5,188,10,No,71.5,149,3,42
Flat,26,completed,409,10,No,109.5,337,10,No,104.3,364,4,Yes,106,184,10,70.1
Flat,27,completed,222,10,No,76.2,217,10,No,65.6,317,9,Yes,97,324,7,107.3
Flat,28,completed,345,9,Yes,116,491,9,Yes,134,153,10,No,57.6,8,0,5.1
Flat,29,drawn,395,9,Yes,117,151,10,No,47.3,346,10,No,114.6,173,4,63
Flat,30,completed,266,10,No,87.6,290,10,No,78.3,441,9,Yes,125,237,10,79.1
Flat,31,completed,499,10,No,151.5,190,10,No,50.2,350,5,Yes,107,289,10,96.1
Flat,32,completed,287,10,No,84.5,324,10,No,100.2,315,10,No,94.6,280,3,86
Flat,33,completed,405,9,Yes,129,159,10,No,46.5,397,5,Yes,115,242,10,99.1
Flat,34,drawn,553,9,Yes,155,470,10,No,165.2,71,1,No,29,,,
Flat,35,drawn,342,10,No,107.2,400,10,No,115.4,420,9,Yes,135,210,4,78
